LOR_Schluessel,Bezeichnung,Raub_2018,Koerperverletzungen_2018,Diebstahl_Kraftwagen_2018,Diebstahl_an/aus_Kfz_2018,Fahrraddiebstahl_2018,Wohnraumeinbruch_2018,Branddelikte_2018,Sachbeschaedigung_2018,Rauschgiftdelikte_2018,Raub_2019,Koerperverletzungen_2019,Diebstahl_Kraftwagen_2019,Diebstahl_an/aus_Kfz_2019,Fahrraddiebstahl_2019,Wohnraumeinbruch_2019,Branddelikte_2019,Sachbeschaedigung_2019,Rauschgiftdelikte_2019,Raub_2020,Koerperverletzungen_2020,Diebstahl_Kraftwagen_2020,Diebstahl_an/aus_Kfz_2020,Fahrraddiebstahl_2020,Wohnraumeinbruch_2020,Branddelikte_2020,Sachbeschaedigung_2020,Rauschgiftdelikte_2020,Raub_2021,Koerperverletzungen_2021,Diebstahl_Kraftwagen_2021,Diebstahl_an/aus_Kfz_2021,Fahrraddiebstahl_2021,Wohnraumeinbruch_2021,Branddelikte_2021,Sachbeschaedigung_2021,Rauschgiftdelikte_2021,Raub_2022,Koerperverletzungen_2022,Diebstahl_Kraftwagen_2022,Diebstahl_an/aus_Kfz_2022,Fahrraddiebstahl_2022,Wohnraumeinbruch_2022,Branddelikte_2022,Sachbeschaedigung_2022,Rauschgiftdelikte_2022,Raub_2023,Koerperverletzungen_2023,Diebstahl_Kraftwagen_2023,Diebstahl_an/aus_Kfz_2023,Fahrraddiebstahl_2023,Wohnraumeinbruch_2023,Branddelikte_2023,Sachbeschaedigung_2023,Rauschgiftdelikte_2023
011001,Tiergarten Süd,470,"2,817",116,"1,851","2,110",259,95,"1,926","1,858",349,"2,290",87,"1,115","1,887",369,81,"2,042","1,518",320,"2,536",126,"1,065","1,977",180,113,"1,691","1,225",231,"2,026",79,"1,339","1,551",158,79,"1,702","1,320",233,"2,612",107,"1,227","1,926",176,170,"2,109","1,429",287,"2,557",147,"1,609","1,707",202,92,"1,823","1,284"
011002,Regierungsviertel,272,"4,222",123,"1,621","3,037",288,41,"3,333","1,086",294,"4,147",87,"1,279","2,693",167,151,"3,798","1,303",275,"3,539",79,"1,542","1,817",252,102,"3,587","1,093",255,"3,131",54,"1,214","1,902",124,31,"3,039","1,330",300,"3,609",80,"1,257","1,965",234,117,"3,178","1,293",322,"3,546",95,"1,729","1,443",286,51,"3,604","1,209"
011003,Alexanderplatz,231,"2,700",120,"1,013","1,550",235,48,"1,836","1,714",261,"3,185",96,951,"1,550",238,73,"2,193","1,804",236,"2,780",83,"1,056","1,296",260,89,"2,301","1,398",261,"2,394",69,"1,051","1,259",130,95,"2,197","1,451",268,"3,007",82,"1,017","1,402",178,114,"2,209","1,139",324,"3,214",109,"1,007","1,388",238,101,"2,102","1,198"
011004,Brunnenstraße Süd,83,916,150,490,"1,005",179,29,"1,415",221,123,820,120,555,"1,129",202,57,"1,324",271,146,945,111,552,"1,158",143,54,"1,592",311,134,828,61,764,"1,157",102,99,"1,368",403,200,979,103,660,"1,321",131,44,"1,408",304,156,"1,086",70,549,"1,382",183,58,"1,389",253
012005,Moabit West,154,"1,413",80,861,968,180,63,"1,074",942,132,"1,455",97,674,700,201,60,"1,360","1,315",150,"1,320",83,596,800,257,111,"1,372",802,105,"1,243",85,658,851,151,110,"1,243","1,142",93,"1,208",117,813,765,104,95,"1,074",627,102,"1,291",93,969,456,180,104,"1,170",380
012006,Moabit Ost,159,"1,796",78,729,937,190,81,"1,132","1,234",116,"1,609",68,574,835,243,96,"1,369","1,377",138,"1,712",62,545,956,224,128,"1,380","1,094",156,"1,754",74,622,"1,050",173,108,"1,387","1,334",206,"1,925",59,521,"1,041",164,110,"1,276","1,304",167,"2,130",53,965,791,188,139,"1,420","1,299"
013007,Osloer Straße,197,"1,926",118,735,666,187,74,"1,125",556,144,"1,857",118,718,703,198,77,"1,193",706,148,"1,676",117,846,708,146,68,"1,332",833,206,"1,668",132,900,578,114,71,"1,262",562,199,"1,750",107,958,738,141,63,"1,154",395,229,"1,892",108,"1,102",829,178,106,"1,156",353
013008,Brunnenstraße Nord,178,"1,679",170,893,713,227,73,"1,438","1,013",153,"1,749",140,973,825,191,77,"1,483","1,039",163,"1,945",117,924,673,175,137,"1,882","1,018",183,"1,764",148,911,664,160,94,"1,616",845,227,"1,758",117,"1,042",955,125,115,"1,688",796,183,"1,912",163,"1,122","1,097",245,143,"1,641",880
014009,Parkviertel,121,"1,631",134,955,786,191,65,"1,221",271,127,"1,474",97,967,552,244,69,"1,103",309,130,"1,382",102,919,482,198,70,"1,139",545,123,"1,384",86,"1,029",513,119,86,"1,093",434,141,"1,576",168,"1,535",890,161,91,"1,047",374,142,"1,441",153,"1,671","1,030",187,105,"1,079",327
014010,Wedding Zentrum,156,"1,656",90,757,750,187,67,"1,227",923,146,"1,657",69,717,535,196,64,"1,308",973,178,"1,766",76,857,479,173,60,"1,308",948,225,"1,587",54,776,729,86,77,"1,239","1,005",184,"1,770",50,890,"1,378",124,99,"1,371",917,291,"1,762",77,"1,229","1,323",193,96,"1,227",999
021001,Südliche  Friedrichstadt,253,"1,656",135,"1,443","1,128",280,88,"1,421","1,998",300,"1,869",101,"1,061","1,181",258,101,"1,646","1,538",348,"1,807",64,"1,370",975,222,212,"1,814","1,684",329,"1,653",79,"1,601","1,005",141,198,"1,747","2,299",298,"1,663",96,"1,508","1,132",96,123,"1,658","1,530",251,"2,099",142,"1,732","1,206",135,152,"1,824","1,728"
022002,Tempelhofer Vorstadt,140,"1,184",138,"1,141","1,842",213,69,"1,178",452,170,"1,213",163,766,"1,758",172,82,"1,899",763,191,"1,307",81,"1,068","1,629",184,81,"1,337","1,040",175,"1,214",102,"1,273","1,126",94,79,"1,410",770,250,"1,320",85,918,"1,529",111,149,"1,540",752,197,"1,460",136,"1,476","1,602",136,123,"1,204",592
023003,Nördliche Luisenstadt,329,"2,201",110,998,"1,299",377,110,"1,690","2,444",403,"2,339",120,"1,093","1,352",206,120,"1,773","2,185",339,"2,474",92,"1,370","1,462",252,169,"2,014","2,798",403,"1,873",74,"1,878","1,278",177,192,"1,971","2,379",539,"2,556",163,"1,671","1,567",129,188,"1,943","3,036",448,"2,291",206,"1,682","1,365",171,91,"1,838","2,875"
023004,Südliche Luisenstadt,384,"1,720",116,721,"1,775",246,62,"1,456","3,419",629,"1,982",135,756,"1,625",207,164,"1,924","4,723",496,"2,058",103,"1,095","1,723",257,92,"1,859","6,765",614,"1,869",37,"2,565","1,839",139,154,"1,918","5,921",774,"2,207",98,"1,966","1,959",154,105,"1,936","5,973",962,"2,390",109,"2,507","2,292",248,101,"2,195","5,509"
024005,Karl-Marx-Allee Nord,71,850,168,775,"1,026",193,21,"1,089",180,153,956,211,505,915,186,33,"1,221",236,115,"1,031",115,662,949,123,82,"1,276",331,113,898,65,656,834,105,73,"1,291",255,210,"1,038",119,586,943,127,40,"1,181",246,168,"1,099",164,612,947,242,58,939,257
024006,Karl-Marx-Allee Süd,330,"2,815",113,997,"1,432",141,68,"1,797","2,573",324,"2,866",121,751,"1,239",129,78,"1,728","2,623",298,"2,649",85,806,"1,336",112,70,"2,239","2,363",237,"1,913",78,774,"1,287",70,82,"1,874","1,505",411,"2,772",91,656,"1,577",113,94,"1,871","1,528",381,"2,841",179,882,"1,095",164,105,"2,127","1,364"
025007,Frankfurter Allee Nord,75,"1,269",121,486,"1,286",157,52,"1,743",303,97,"1,187",106,258,"1,132",158,155,"1,925",377,77,"1,018",109,359,"1,040",122,166,"2,433",477,83,"1,103",71,375,814,106,192,"2,048",346,89,"1,025",114,355,974,105,95,"1,726",320,130,"1,047",82,379,"1,059",120,63,"1,410",237
025008,Frankfurter Allee Süd FK,182,"1,804",65,594,"1,349",195,57,"1,931","2,174",207,"1,760",83,454,"1,372",126,68,"1,939","2,436",166,"1,413",60,447,"1,114",153,126,"2,522","2,207",132,"1,246",49,473,"1,001",74,82,"2,051","1,108",178,"1,518",80,522,"1,322",96,78,"1,844","1,132",195,"1,939",77,584,"1,216",187,74,"1,864","1,283"
031001,Buch,66,"1,075",90,397,865,78,72,"1,057",198,47,"1,402",89,408,669,47,136,"1,485",207,112,"1,273",71,509,527,77,89,"1,308",272,108,"1,228",24,536,638,163,132,"1,259",211,179,"1,812",93,"1,146",874,133,168,"1,655",179,90,"1,695",79,648,417,107,118,"1,695",197
032002,Blankenfelde/Niederschönhausen,35,434,98,469,700,140,28,532,56,17,355,108,435,508,216,52,710,52,45,443,98,440,548,150,38,621,63,42,344,88,294,466,158,67,722,98,31,411,111,387,587,183,62,484,52,78,505,111,418,408,152,74,866,54
032003,Buchholz,33,383,137,274,317,126,38,509,49,16,394,38,388,323,159,22,438,49,38,409,55,316,333,191,11,371,65,27,418,65,282,304,190,22,581,54,27,364,171,444,396,144,64,513,59,37,479,128,442,447,181,53,820,32
033004,Karow,20,429,15,521,643,174,5,556,71,20,403,31,270,433,239,31,489,107,25,366,41,168,396,102,25,559,122,20,364,26,159,661,179,36,497,72,30,390,45,280,430,350,30,465,110,30,490,54,317,327,233,35,639,99
033005,Blankenburg/Heinersdorf/Märchenland,39,604,128,687,655,379,51,848,77,32,672,133,717,856,285,57,"1,129",152,13,701,63,581,549,354,19,903,114,64,699,114,406,534,311,64,883,102,61,872,134,823,737,317,85,"1,067",104,89,950,125,713,647,285,77,"1,063",89
034006,Schönholz/Wilhelmsruh/Rosenthal,56,430,112,636,279,268,61,547,84,61,424,83,649,275,517,50,627,44,32,524,76,567,319,286,38,675,108,37,496,128,416,422,278,85,753,123,53,477,170,610,398,323,69,647,74,117,535,117,784,344,228,85,726,58
034007,Pankow Zentrum,75,583,127,483,"1,599",174,41,837,116,98,634,122,378,"1,309",158,33,827,103,70,657,75,415,"1,236",110,38,"1,037",127,73,647,100,348,"1,108",102,57,984,102,128,664,67,440,"1,003",96,45,880,117,119,730,104,405,953,106,36,745,99
034008,Pankow Süd,101,632,153,387,"1,118",182,43,759,116,71,644,200,411,969,131,51,835,128,62,546,82,374,850,90,34,706,189,72,541,72,482,936,92,47,833,145,85,605,170,501,834,129,44,774,93,100,629,167,494,721,175,46,710,121
035009,Weißensee,55,853,190,381,725,164,60,876,130,42,879,158,485,897,215,31,"1,030",166,62,700,119,591,837,145,65,"1,116",168,46,780,71,546,559,86,53,"1,024",191,84,758,126,453,898,126,59,"1,122",160,100,776,136,565,835,144,49,"1,102",170
035010,Weißensee Ost,72,809,202,476,561,156,78,978,274,65,939,188,680,590,194,58,"1,179",330,64,842,160,881,645,153,109,"1,411",313,50,984,69,852,514,138,94,871,263,31,906,287,694,394,125,100,844,181,139,"1,116",164,769,574,164,69,"1,167",259
036011,Prenzlauer Berg Nordwest,180,"1,119",149,416,"1,394",145,46,"1,116",669,117,936,155,340,"1,385",143,57,"1,083",544,142,"1,035",97,486,"1,681",105,67,"1,371","1,076",212,"1,183",97,603,"1,451",93,63,"1,279",673,267,"1,246",102,581,"1,564",55,33,"1,308",391,214,"1,262",83,461,"1,371",138,76,"1,309",558
036012,Prenzlauer Berg Nord,88,695,201,487,"1,606",143,51,966,198,77,758,259,594,"1,425",149,40,"1,090",255,58,758,124,587,"1,228",98,66,"1,261",262,37,558,77,675,"1,566",77,33,935,238,131,722,142,624,"1,586",152,58,998,218,72,711,129,590,"1,298",175,43,"1,048",243
036013,Helmholtzplatz,61,821,70,250,"1,300",101,22,"1,216",215,44,736,123,254,982,259,35,"1,337",131,35,879,71,296,"1,347",106,84,"1,736",384,58,822,22,373,"1,600",147,44,"1,458",360,70,872,74,371,"1,374",100,48,"1,413",331,179,854,35,336,"1,290",83,44,"1,290",353
036014,Prenzlauer Berg Ost,137,"1,372",215,682,"1,146",252,119,"1,613",267,125,"1,196",257,605,"1,101",264,81,"1,761",338,165,"1,299",169,950,"1,024",191,99,"2,106",294,198,"1,304",125,"1,039","1,054",114,110,"1,807",364,199,"1,370",157,"1,035","1,035",199,121,"1,622",395,241,"1,482",255,"1,241",779,259,186,"1,734",386
037015,Prenzlauer Berg Südwest,82,"1,266",108,685,"1,412",212,30,"1,277",175,63,"1,395",136,508,"1,314",258,48,"1,362",177,103,"1,087",110,661,"1,231",151,70,"1,609",342,125,947,81,565,"1,141",117,44,"1,365",323,149,"1,288",131,667,"1,469",131,47,"1,498",239,153,"1,658",138,404,"1,116",109,58,"1,378",451
037016,Prenzlauer Berg Süd,42,479,182,499,951,165,27,805,129,77,460,154,394,"1,056",190,21,919,139,45,605,95,540,"1,033",154,33,"1,184",187,54,571,90,589,"1,052",105,27,"1,085",173,80,544,139,570,"1,040",47,50,951,112,92,696,112,497,977,130,36,929,192
041001,Charlottenburg Nord,118,"1,433",360,"1,233",632,262,82,"1,192",950,179,"1,577",369,"1,521",297,384,133,999,"1,086",113,"1,252",200,"1,478",349,570,123,"1,067","1,570",62,"1,411",156,"1,411",327,228,156,"1,178","1,697",125,"1,421",375,"1,125",213,182,104,"1,099","1,760",144,"1,532",468,"1,753",195,278,108,961,"1,969"
042002,Heerstraße,145,"1,167",267,"1,000",588,679,61,"1,076",252,99,"1,222",175,"1,085",357,622,99,"1,336",243,30,937,183,907,518,472,122,"1,387",198,86,879,257,996,358,405,109,"1,510",163,116,"1,571",201,952,441,434,101,"1,479",310,147,"1,720",380,"1,030",380,403,124,"1,875",341
042003,Westend,87,"1,108",230,"1,212",738,275,38,846,157,94,"1,048",171,"1,048",696,425,59,"1,107",153,91,781,130,964,687,249,67,950,151,81,720,162,"1,184",836,249,46,956,186,50,918,222,"1,220",556,237,93,"1,134",187,100,941,303,"1,361",567,364,46,"1,012",200
043004,Schloss Charlottenburg,94,"1,092",159,606,945,240,60,"1,021",182,85,"1,037",103,533,840,204,43,"1,000",245,122,963,67,828,947,232,60,"1,276",336,115,852,166,922,"1,029",138,40,"1,385",278,91,812,137,719,999,151,79,"1,341",261,104,"1,022",220,802,904,188,86,"1,321",250
043005,Mierendorffplatz,45,"1,027",123,838,819,175,71,786,325,129,"1,047",174,827,627,149,84,"1,215",304,142,"1,315",155,"1,141",780,193,45,"1,186",535,84,908,156,"1,116",824,123,78,"1,044",344,163,"1,183",248,"1,216",771,157,92,"1,288",203,150,"1,128",202,"1,409",522,209,91,"1,161",326
043006,Otto-Suhr-Allee/Kantstraße,153,"1,485",97,674,"1,402",276,56,"1,247",242,98,"1,484",68,732,"1,213",245,66,"1,273",305,142,"1,333",80,890,"1,184",274,48,"1,191",390,129,"1,273",107,"1,008","1,012",194,79,"1,232",337,147,"1,220",121,815,"1,129",173,81,"1,030",371,130,"1,299",106,"1,189","1,111",260,74,"1,103",404
044007,Grunewald,62,495,211,"1,336",495,449,52,"1,222",77,66,715,158,"1,189",444,597,46,"1,353",107,66,663,213,"1,447",491,658,51,"1,144",86,30,682,177,"1,349",515,369,66,"1,323",121,120,672,316,"2,242",582,436,65,"1,254",120,65,799,271,"1,528",528,593,80,"1,503",151
044008,Schmargendorf,42,465,237,697,700,204,33,568,99,45,486,197,713,817,325,45,749,101,41,509,154,787,687,178,41,648,98,39,522,148,573,534,225,56,837,151,53,458,159,729,623,180,35,715,86,46,640,336,823,657,264,58,799,139
045009,Halensee,138,931,204,905,844,251,47,753,145,90,"1,096",205,"1,056",880,338,57,992,187,75,952,165,"1,804",877,248,25,"1,110",212,109,773,239,"1,647",812,225,58,958,319,96,906,206,"1,155",782,270,53,"1,102",203,124,"1,024",334,"2,166",967,327,53,"1,152",210
045010,Lietzenburger Straße,213,"2,315",179,"1,106","1,327",321,61,"1,697",574,282,"2,267",173,"1,193","1,096",290,78,"1,646",709,188,"2,153",154,"1,597","1,451",363,51,"1,582",636,176,"1,966",146,"2,288","1,107",154,54,"1,692",743,239,"2,049",121,"1,719","1,021",251,59,"1,630",779,286,"2,413",229,"2,751","1,176",387,62,"1,827",772
045011,Volkspark Wilmersdorf,85,700,158,724,"1,294",184,59,722,243,64,686,132,903,"1,139",288,46,811,266,88,791,102,821,"1,157",298,28,857,541,75,702,118,"1,148",860,126,65,884,359,77,738,139,"1,021",956,157,59,856,198,105,753,219,"1,310",887,227,53,784,225
051001,Hakenfelde,64,811,144,943,233,64,68,759,104,46,628,146,635,246,116,89,855,96,26,733,90,512,254,142,60,774,168,34,716,109,873,210,146,56,622,176,43,742,115,659,227,112,58,626,108,32,683,161,518,319,165,105,819,105
051002,Falkenhagener Feld,84,"1,024",135,467,419,99,70,713,130,43,937,191,351,265,127,105,686,158,100,998,79,421,376,160,76,898,171,52,991,45,679,238,193,48,760,193,80,"1,044",153,754,200,233,54,829,139,82,928,161,411,129,185,91,640,131
051003,Spandau Mitte,278,"1,902",87,880,723,103,77,"1,129",599,161,"1,721",119,625,414,92,74,"1,378",656,164,"1,679",95,668,544,119,84,"1,346",731,191,"1,654",89,"1,122",385,110,118,"1,235",716,223,"1,791",145,"1,257",492,218,104,"1,306",588,154,"1,772",167,"1,014",549,137,147,"1,236",748
052004,Brunsbütteler Damm,52,904,190,523,363,177,61,735,108,60,716,219,498,485,99,69,806,77,60,852,218,407,343,163,51,792,116,56,750,167,557,154,141,39,703,120,68,750,102,809,212,208,119,699,131,55,685,244,538,143,181,92,739,164
052005,Heerstraße,112,"1,173",119,524,201,168,86,817,152,69,"1,191",108,484,291,173,82,"1,087",134,46,"1,181",158,437,191,237,105,668,138,60,"1,103",131,500,191,144,168,"1,140",174,72,"1,072",92,625,174,253,270,"1,036",151,104,"1,151",201,743,104,234,152,866,149
052006,Wilhelmstadt,147,"1,753",87,556,627,153,55,"1,218",360,99,"1,616",77,533,450,152,55,978,273,138,"1,516",80,478,425,180,72,"1,138",334,66,"1,167",88,784,402,110,83,"1,280",228,135,"1,504",141,967,520,176,84,"1,149",222,142,"1,477",161,912,381,185,72,"1,115",271
053007,Haselhorst,95,"1,081",273,916,356,153,57,846,153,108,955,261,732,306,134,89,669,236,75,"1,237",193,"1,007",218,249,106,864,249,76,"1,044",158,"1,337",334,152,94,"1,020",182,96,"1,150",250,"1,310",405,176,37,"1,012",213,81,"1,040",394,949,358,242,81,989,162
053008,Siemensstadt,135,"1,206",270,746,"1,341",246,32,"1,024",135,102,"1,008",291,921,708,299,63,"1,008",268,102,"1,173",133,"1,377",524,156,94,"1,205",266,158,930,158,"1,135",528,110,95,"1,135",221,101,"1,106",218,"1,410",615,62,140,"1,355",187,94,"1,113",400,"1,669",431,219,63,987,235
054009,Gatow/Kladow,35,522,60,306,191,331,45,411,55,30,442,95,171,181,432,35,608,40,20,498,101,121,166,277,35,397,65,10,366,140,191,115,95,25,467,60,35,336,49,262,262,138,59,370,35,20,393,80,294,174,164,60,587,25
061001,Schloßstraße,109,929,95,512,"1,350",149,45,865,226,171,"1,069",176,690,"1,686",293,171,"1,078",316,167,"1,020",72,420,"1,151",208,32,"1,156",275,82,975,87,472,888,137,37,998,247,140,941,158,446,"1,058",113,59,864,239,193,"1,187",157,647,"1,043",234,36,976,333
061002,Albrechtstraße,45,472,102,563,565,169,30,632,130,66,506,142,560,500,266,56,777,109,35,478,82,510,459,261,24,605,112,64,447,128,567,368,172,23,575,109,52,432,162,417,428,123,30,544,97,55,504,211,597,456,164,17,556,100
062003,Lankwitz,44,900,95,591,302,177,51,674,195,42,810,111,547,238,270,44,741,168,39,840,76,381,264,236,39,723,191,35,686,111,480,206,123,39,684,220,43,795,125,570,258,164,55,711,210,48,710,245,497,351,213,63,637,134
062004,Ostpreußendamm,53,560,93,565,459,256,37,734,107,62,599,146,524,440,185,45,711,78,39,690,126,352,335,266,64,713,106,39,648,98,435,365,132,56,906,151,25,726,131,414,453,206,72,804,72,28,663,265,446,407,318,45,722,86
063005,Teltower Damm,41,523,87,616,"1,000",215,41,700,160,102,504,67,574,"1,037",146,35,664,143,76,688,70,348,579,263,50,884,193,44,588,71,387,567,186,50,635,192,50,534,184,411,657,306,41,686,120,70,580,160,528,510,344,29,796,140
063006,Drakestraße,20,522,123,992,708,171,60,677,91,36,537,100,561,569,188,38,606,86,30,631,145,414,360,235,28,736,76,18,566,113,471,328,123,22,625,99,30,589,179,354,388,151,40,629,86,50,569,222,529,399,208,50,691,84
064007,Zehlendorf Südwest,19,576,104,810,528,182,104,"1,167",97,48,523,141,541,523,352,96,"1,502",133,71,661,74,471,534,330,111,"1,889",208,78,751,146,478,602,243,82,"1,577",194,63,618,108,681,551,302,101,"1,724",130,75,684,224,632,654,370,105,"1,896",127
064008,Zehlendorf Nord,35,438,133,"1,003",721,385,40,"1,049",156,70,465,146,848,862,344,53,"1,090",93,49,546,107,593,806,444,70,"1,320",184,54,428,125,567,590,357,87,"1,300",195,58,505,175,600,689,376,35,"1,139",208,74,544,181,742,574,677,49,"1,083",107
071001,Schöneberg Nordwest,350,"2,098",117,889,"1,115",264,49,"1,386","1,126",330,"1,940",64,916,"1,343",244,56,"1,077","1,092",272,"1,959",68,934,"1,607",166,79,"1,346","1,123",226,"1,706",84,"1,281","1,308",145,42,"1,373",853,263,"2,188",57,"1,283","1,569",183,115,"1,558",977,406,"2,306",156,"1,497","1,683",258,65,"1,755","1,041"
071002,Schöneberg Nordost,99,"1,008",99,658,"1,242",255,58,934,662,111,850,82,526,"1,076",197,70,"1,532",481,112,888,87,668,"1,295",149,54,"1,162",548,113,845,67,707,"1,105",163,50,"1,218",699,129,921,75,800,"1,404",183,29,"1,092",417,75,975,83,"1,159","1,430",229,58,"1,129",625
072003,Schöneberg Südwest,81,716,81,511,"1,447",244,14,817,439,81,850,62,541,"1,102",223,52,945,351,114,849,128,664,920,190,66,"1,062",422,71,669,119,745,698,138,33,821,285,52,916,166,721,992,109,38,920,266,123,941,137,"1,088",757,246,33,998,378
072004,Schöneberg Südost,86,"1,326",106,738,"1,266",213,56,"1,395",555,80,"1,311",113,554,"1,138",136,30,"1,351",518,63,"1,265",102,578,"1,159",132,59,"1,456",618,85,"1,112",49,660,"1,028",94,33,"1,395",615,112,"1,448",70,574,"1,311",125,61,"1,663",481,102,"1,433",83,"1,045","1,459",127,64,"1,408",551
